	GUYT2_50261	GUYT2_50262	GUYT2_50263	GUYT2_50264	GUYT2_50265	GUYT2_50266	GUYT2_50267	GUYT2_50269	GUYT2_50270	GUYT2_50271	GUYT2_50273	GUYT2_50282	GUYT2_50284	GUYT2_50287	GUYT2_50290	GUYT2_50291	GUYT2_50293	GUYT2_50294	GUYT2_50296	GUYT2_50298	GUYT2_50299	GUYT2_50300	GUYT2_50301	GUYT2_50302	GUYT2_50305	GUYT2_50307	GUYT2_50308	GUYT2_50313	GUYT2_50316	GUYT2_50317	GUYT2_50318	GUYT2_50319	GUYT2_50320	GUYT2_50321	GUYT2_50322	GUYT2_50326	GUYT2_50327	GUYT2_50328	GUYT2_50330	GUYT2_50333	GUYT2_50335	GUYT2_50336
1000_at	6.203	6.115	6.184	6.266	5.93	6.265	6.344	6.037	6.085	6.172	6.069	6.068	6.372	6.276	6.429	6.355	6.213	6.186	6.312	5.964	5.929	6.127	6.296	6.161	6.242	5.837	6.153	6.191	6.254	6.354	6.174	6.147	6.221	6.278	6.304	6.133	5.995	6.171	6.129	6.243	6.077	6.178
1499_at	5.936	6.182	6.161	5.913	5.996	5.847	5.678	6.234	5.711	5.905	5.783	6.096	5.808	6.3	5.862	5.949	6.213	6.394	6.086	6.401	5.884	6.07	5.818	5.931	6.243	6.072	5.838	5.809	6.23	5.709	5.848	5.845	6.337	6.252	6.055	5.732	6.185	5.895	6.009	6.272	5.92	5.937
51701_at	5.869	5.601	5.122	5.799	5.745	5.733	5.737	5.483	5.702	5.642	5.796	5.796	5.223	5.247	5.64	5.627	5.83	5.697	5.741	5.616	5.794	5.51	5.871	5.675	5.562	5.374	5.357	5.45	5.483	5.875	5.463	5.658	5.356	5.378	5.644	5.449	5.655	5.689	5.502	5.373	5.684	5.522
5528_at	6.203	6.115	6.184	6.266	5.93	6.265	6.344	6.037	6.085	6.172	6.069	6.068	6.372	6.276	6.429	6.355	6.213	6.186	6.312	5.964	5.929	6.127	6.296	6.161	6.242	5.837	6.153	6.191	6.254	6.354	6.174	6.147	6.221	6.278	6.304	6.133	5.995	6.171	6.129	6.243	6.077	6.178
8945_at	5.06	5.253	4.938	5.372	5.636	5.378	5.359	5.428	5.207	5.576	5.278	5.389	5.316	5.215	5.278	5.081	5.227	5.239	5.262	5.092	5.441	5.446	5.283	5.35	5.306	5.26	5.199	5.401	5.399	5.202	5.278	5.451	5.355	5.155	5.456	5.334	5.277	5.205	5.186	4.991	5.227	5.587
8312_at	6.648	6.571	6.471	6.544	6.806	6.573	6.547	6.685	6.767	6.713	6.666	6.656	6.583	6.676	6.533	6.642	6.618	6.528	6.6	6.566	6.723	6.635	6.587	6.609	6.766	6.683	6.754	6.611	6.641	6.624	6.572	6.623	6.701	6.515	6.674	6.599	6.792	6.566	6.542	6.749	6.651	6.616
5624_at	5.046	4.825	4.798	4.7	4.61	4.881	4.956	5.022	4.877	4.772	4.968	4.872	4.864	4.956	4.611	4.877	5.023	4.893	4.972	4.736	4.813	4.745	4.749	4.996	4.938	4.548	4.841	4.852	5.022	4.992	4.922	4.745	5.053	4.859	4.844	4.933	4.771	4.955	4.896	4.886	5.025	4.435
2932_at	4.679	5.219	4.857	5.016	5.116	5.135	5.176	5.133	5.118	5.266	4.922	5.252	4.983	5.156	4.895	5.035	4.978	5.041	5.181	5.206	5.021	5.035	5.608	5.213	5.184	5.337	5.231	5.335	5.114	5.093	5.439	5.356	4.979	5.02	5.093	4.979	5.014	4.903	5.144	4.974	4.913	5.409
1855_at	4.843	4.471	4.962	4.389	4.447	4.556	4.416	4.36	4.752	4.614	4.652	4.681	4.565	4.594	4.692	4.7	4.872	4.565	4.939	4.648	4.464	4.509	4.663	4.721	4.651	4.772	4.616	4.656	4.559	4.777	4.577	4.62	4.918	4.682	4.642	4.917	4.646	4.623	4.884	4.746	4.65	4.642
10023_at	6.456	6.446	6.28	6.509	6.342	6.495	6.413	6.311	6.294	6.304	6.413	6.391	6.304	6.276	6.229	6.404	6.388	6.326	6.31	6.248	6.352	6.265	6.232	6.233	6.31	6.423	6.269	6.286	6.13	6.173	6.382	6.304	6.337	6.409	6.198	6.23	6.215	6.245	6.264	6.285	6.147	6.282
1457_at	6.78	6.736	6.693	6.926	6.82	6.741	7.046	6.604	6.444	6.612	6.435	6.892	6.396	6.596	6.361	6.209	6.671	6.702	6.593	6.452	6.518	6.727	6.396	6.657	6.591	6.747	6.266	6.469	6.491	6.332	6.875	6.522	6.465	6.505	6.233	6.44	6.708	6.705	6.506	6.515	6.468	6.781
85407_at	5.766	5.833	5.657	5.719	5.779	5.854	5.816	5.874	5.818	5.831	5.828	5.937	5.97	5.769	5.715	5.942	5.731	5.856	5.902	5.956	6.039	5.94	5.945	6.05	6.005	5.975	5.824	5.806	5.912	5.86	5.919	5.934	5.834	5.928	6.041	5.957	5.865	6.01	5.867	5.84	5.947	6.011
85409_at	5.38	5.766	5.051	5.771	5.601	5.789	5.814	5.818	4.771	5.119	5.64	5.601	4.834	5.29	5.214	5.38	5.233	5.205	5.603	4.738	5.452	5.467	5.61	5.726	4.918	5.171	5.324	5.067	4.506	5.245	5.173	5.742	5.39	5.027	5.458	5.044	5.286	5.099	5.627	4.837	5.28	4.293
6885_at	6.305	6.457	6.114	6.413	6.399	6.546	6.22	6.621	6.36	6.095	6.386	6.044	6.271	6.209	6.189	6.277	6.389	6.213	6.175	6.013	6.526	6.304	6.396	6.51	6.366	6.326	6.385	6.361	6.488	6.108	6.285	5.955	6.112	6.161	6.167	6.287	6.334	6.271	6.652	6.253	6.645	6.48
10454_at	6.026	6.138	5.848	6.01	6	6.213	6.058	6.106	6.09	6.071	6.082	5.915	6.141	6.067	5.899	5.958	6.111	6	6.076	6.155	6.243	6.014	6.287	5.945	5.949	6.028	5.851	5.958	6.017	5.957	6.095	6.01	6.062	6.015	5.959	6.186	6.022	6.141	6.006	6.191	5.993	6.046
1452_at	4.196	4.212	4.331	3.89	4.378	4.008	4.543	4.355	4.293	3.985	4.152	4.161	4.35	4.273	4.27	4.158	4.353	4.119	4.421	4.11	4.065	4.071	4.343	4.431	3.995	4.166	4.262	4.245	4.344	4.367	4.231	3.948	4.269	4.281	4.283	4.235	4.297	4.503	4.184	4.036	4.155	4.107
3725_at	5.909	5.711	5.835	6.064	5.872	5.776	5.807	6	5.696	5.604	5.906	6.131	5.885	5.97	5.93	5.67	5.644	5.772	5.5	5.862	5.838	6.015	5.727	5.957	5.863	5.791	5.435	5.632	5.548	5.747	5.406	5.76	5.744	5.618	5.512	6.268	5.8	5.567	5.941	6.091	5.877	5.938
1432_at	6.268	6.031	5.906	6.203	6.139	5.914	6.045	5.952	5.977	5.905	5.923	5.921	6.079	6.008	5.978	5.862	5.898	5.857	5.846	5.979	6.125	5.873	6.01	5.966	6.079	5.957	5.925	5.751	5.836	5.893	6.066	6.009	5.996	5.831	5.813	5.827	5.974	5.762	6.1	5.851	5.945	5.79
836_at	6.404	6.507	6.302	6.359	6.68	6.444	6.595	6.408	6.562	6.54	6.474	6.499	6.508	6.614	6.13	6.287	6.165	6.386	6.298	6.461	6.485	6.341	6.329	6.606	6.501	6.423	6.483	6.498	6.577	6.234	6.557	6.632	6.368	6.315	6.707	6.246	6.153	6.229	6.287	6.175	6.206	6.415
