	Z3001	Z3002	Z3003	Z3004	Z3005	Z3006	Z3007	Z3009	Z3012	Z3013	Z3014	Z3015	Z3329	Z3331	Z3333	Z3335	Z3336	Z3337	Z3338	Z3340	Z3343	Z3250	Z3251	Z3252	Z3253	Z3254	Z3256	Z3257	Z3258	Z3259	Z3260	Z3261	Z3262	Z3263	Z3265	Z3266	Z3267	Z3269	Z3270	Z3271	Z3272	Z3273	Z3274	Z3275	Z3276	Z3277	Z3278	Z3279	Z3280	Z100
1000_at	5.869	5.601	5.122	5.799	5.745	5.733	5.737	5.483	5.702	5.642	5.796	5.796	5.223	5.247	5.64	5.627	5.83	5.697	5.741	5.616	5.794	5.51	5.871	5.675	5.562	5.374	5.357	5.45	5.483	5.875	5.463	5.658	5.356	5.378	5.644	5.449	5.655	5.689	5.502	5.373	5.684	5.522	5.758	4.256	5.061	5.297	5.026	5.632	4.957	4.868
1499_at	4.707	5.146	4.906	5.036	4.915	5.263	5.174	5.086	5.034	5.264	5.259	5.06	4.901	4.758	5.259	4.281	4.664	4.682	5.082	5.713	5.075	4.649	5.44	4.945	4.911	5.31	4.964	4.688	4.998	5.082	4.907	4.952	5.165	5.758	4.256	5.061	5.297	5.026	5.632	4.957	4.868	4.919	4.945	5.356	5.399	5.322	5.357	5.491	5.064	4.99
51701_at	5.4	4.446	4.775	4.351	4.574	4.373	4.279	4.424	4.452	4.397	4.24	4.253	3.994	4.327	3.98	5.112	4.002	4.078	3.986	4.098	4.091	4.24	4.496	4.2	4.283	4.184	4.301	4.938	4.466	4.212	4.172	4.21	4.134	4.114	4.562	4.227	4.192	4.145	4.108	4.27	4.899	4.57	4.133	4.14	4.284	4.165	4.032	4.215	4.132	4.201
5528_at	4.707	5.146	4.906	5.036	4.915	5.263	5.174	5.086	5.034	5.264	5.259	5.06	4.901	4.758	5.259	4.281	4.664	4.682	5.082	5.713	5.075	4.649	5.44	4.945	4.911	5.31	4.964	4.688	4.998	5.082	4.907	4.952	5.165	5.758	4.256	5.061	5.297	5.026	5.632	4.957	4.868	4.919	4.945	5.356	5.399	5.322	5.357	5.491	5.064	4.99
8945_at	4.718	5.137	5.628	6.265	6.095	6.075	6.052	5.442	5.204	6.229	5.645	6.261	6.098	6.79	6.584	4.845	6.434	7.345	6.877	6.662	6.62	5.422	6.089	5.806	5.163	6.496	6.093	5.363	6.03	6.219	6.465	6.069	6.281	7.11	5.342	6.321	5.897	6.197	6.357	5.007	4.404	5.452	6.621	6.579	6.449	5.881	6.225	6.942	7.444	5.449
8312_at	8.183	8.395	7.949	6.661	9.09	6.577	7.008	8.663	7.359	8.702	6.911	7.346	6.472	7.284	6.754	7.909	6.588	9.267	7.445	7.421	7.803	7.041	8.279	7.938	6.792	6.327	6.861	6.788	7.132	6.203	6.727	6.394	6.592	8.335	6.733	7.365	6.588	10.23	7.255	6.481	7.194	6.678	6.196	7.198	7.381	6.375	6.873	6.51	6.674	6.891
5624_at	4.915	4.871	5	4.912	4.977	5.127	4.984	4.905	4.848	5.003	4.965	5.068	5.044	5.008	5.215	4.77	4.997	5.301	5.008	5.133	5.121	4.816	5.093	4.733	4.896	5.052	5.042	4.952	4.987	4.906	5.093	5.041	5.062	5.652	4.894	4.988	5.021	5.083	5.214	4.954	4.858	4.767	5.239	4.967	5.124	5.057	4.95	5.14	5.898	4.936
2932_at	7.498	7.45	7.137	6.968	6.955	7.028	7.216	7.428	7.084	6.948	6.969	6.811	7.203	7.146	6.98	7.748	6.712	6.863	6.641	6.91	6.995	7.255	7.059	6.674	7.236	7.319	6.945	7.852	7.739	7.079	6.79	7.368	7.132	6.974	7.167	7.044	6.976	7.273	7.179	7.723	8.154	7.512	7.301	7.413	6.969	7.162	7.127	7	6.669	7.852
1855_at	6.257	5.595	5.693	6.626	6.302	6.548	7.213	6.064	6.178	6.268	6.368	6.061	6.132	7.187	6.268	6.365	5.904	5.967	6.212	6.717	6.216	6.457	6.264	6.179	6.582	5.88	5.9	6.001	6.317	6.287	5.911	6.03	6.174	5.63	6.226	5.604	5.711	5.876	6.389	6.857	6.466	6.243	6.121	6.125	6.134	6.357	6.143	5.864	6.062	6.86
10023_at	4.639	4.138	4.231	3.997	4.115	4.073	3.995	4.159	4.227	3.999	3.954	3.928	4.072	3.878	3.895	4.967	4.059	3.826	3.97	3.905	3.939	4.244	3.984	4.036	4.214	3.959	3.941	4.116	4.027	3.88	3.908	3.938	3.946	3.887	4.185	4.025	4.068	4.085	4.059	4.247	4.209	4.361	3.934	3.941	4.031	4.059	3.955	3.911	3.95	4.208
1457_at	6.813	7.03	6.186	6.549	6.32	6.201	6.373	6.985	7.201	6.799	6.789	6.618	6.306	6.684	6.264	7.283	6.485	6.271	6.351	6.136	6.588	6.652	6.383	6.978	7.249	6.351	6.621	6.509	6.322	6.414	6.369	6.091	6.269	6.009	7.051	6.145	6.085	6.851	6.44	6.899	7.476	6.898	6.103	6.764	6.282	6.504	6.443	6.541	6.016	7.526
85407_at	4.907	4.498	5.112	4.993	4.42	4.995	4.529	4.837	4.876	5.174	5.674	6.233	4.775	7.301	4.71	4.887	6.152	5.899	5.619	5.54	6.448	5.003	4.872	4.498	4.219	5.648	5.937	4.458	5.009	4.995	5.231	4.973	5.185	4.793	4.469	4.424	4.859	5.088	4.33	4.768	4.346	4.792	5.14	5.12	4.717	5.754	4.568	5.535	6.44	5.44
85409_at	5.411	6.228	6.125	6.555	5.958	6.75	6.746	6.254	5.437	5.982	6.105	6.613	5.898	6.076	6.105	5.53	6.093	7.278	6.36	6.724	5.94	6.095	6.082	6.221	5.769	6.264	6.041	5.847	5.974	6.544	6.3	6.432	6.788	6.936	5.828	7.553	6.91	5.83	6.31	5.978	5.593	6.48	7.061	6.525	7.545	5.957	7.572	6.754	6.918	5.624
6885_at	7.453	8.892	9.214	8.619	8.449	9.047	8.787	8.528	8.66	8.791	9.036	8.979	9.647	9.188	8.969	6.957	9.167	8.643	9.588	9.153	8.685	8.411	9.217	8.69	7.515	9.074	8.516	7.546	9.553	9.112	8.303	9.078	8.592	9.233	8.718	8.951	9.361	8.516	9.021	8.068	8.126	7.895	9.032	9.306	9.727	8.302	9.338	9.312	8.654	7.431
